,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
107,5.6,2.7,4.2,1.3,Iris-versicolor
108,5.8,2.7,3.9,1.2,Iris-versicolor
109,5.9320754716981146,2.9,4.5,1.5,Iris-versicolor
110,6.0,2.7,5.1,1.6,Iris-versicolor
112,5.7,2.8,4.1,1.3,Iris-versicolor
113,6.1,2.9,4.190384615384615,1.4,Iris-versicolor
114,7.3,2.9,6.3,1.8,Iris-virginica
115,6.4,3.2,5.3,2.3,Iris-virginica
116,6.1,2.6,5.6,1.4,Iris-virginica
118,6.3,2.8,5.1,1.5,Iris-virginica
119,7.6,3.0,6.6,2.1,Iris-virginica
120,7.1,3.0,5.9,2.1,Iris-virginica
121,6.3,2.9,5.6,1.8,Iris-virginica
122,6.5,3.0,5.8,2.2,Iris-virginica
123,7.7,3.8,6.7,2.2,Iris-virginica
124,5.8,2.7,5.1,1.9,Iris-virginica
125,6.4,2.8,5.6,2.2,Iris-virginica
126,6.9,3.2,5.7,2.3,Iris-virginica
127,7.4,2.8,6.1,1.9,Iris-virginica
128,7.2,3.0,5.8,1.6,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
130,6.1,3.0,4.9,1.8,Iris-virginica
131,6.5,3.0,5.5,1.8,Iris-virginica
132,6.2,2.8,4.8,1.8,Iris-virginica
133,6.3,2.7,4.9,1.8,Iris-virginica
134,7.7,2.8,6.7,2.0,Iris-virginica
135,5.6,2.8,4.9,2.0,Iris-virginica
136,5.8,2.8,5.1,2.4,Iris-virginica
137,6.0,2.2,5.0,1.5,Iris-virginica
138,7.7,2.6,6.9,2.3,Iris-virginica
139,7.9,3.8,6.4,2.0,Iris-virginica
140,6.7,2.5,5.8,1.8,Iris-virginica
141,6.2,3.4,5.4,2.3,Iris-virginica
142,6.5,3.2,5.1,2.0,Iris-virginica
143,6.7,3.3,5.7,2.1,Iris-virginica
145,6.3,3.4,5.6,2.4,Iris-virginica
146,6.4,3.1,5.5,1.8,Iris-virginica
147,6.0,3.0,4.8,1.8,Iris-virginica
148,6.7,3.1,5.6,2.4,Iris-virginica
149,6.9,3.1,5.1,2.3,Iris-virginica
150,5.8,2.7,5.1,1.9,Iris-virginica
151,6.8,3.2,5.9,2.3,Iris-virginica
152,6.7,3.3,5.7,2.5,Iris-virginica
153,6.3,2.5,5.0,1.9,Iris-virginica
154,6.3,2.7,4.9,1.8,Iris-virginica
155,6.5,3.0,5.2,2.0,Iris-virginica
156,6.2,3.4,5.4,2.3,Iris-virginica
157,5.9,3.0,5.1,1.8,Iris-virginica
158,6.4,2.8,5.6,2.2,Iris-virginica
159,7.7,3.8,6.7,2.2,Iris-virginica
160,5.8,2.8,5.1,1.9927272727272727,Iris-virginica
161,6.7,3.0,5.2,2.3,Iris-virginica
162,7.7,3.0,6.1,2.3,Iris-virginica
163,7.2,3.2,6.0,1.8,Iris-virginica
164,6.3,2.8,5.1,1.5,Iris-virginica
165,5.7,2.5,5.0,2.0,Iris-virginica
166,6.8,3.0,5.5,2.1,Iris-virginica
167,6.4,2.7,5.3,1.9,Iris-virginica
168,7.2,3.6,6.1,2.5,Iris-virginica
169,6.3,3.3,6.0,2.5,Iris-virginica
