title:P                                                                               , recorded:02.07.20 11.12.34, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
3,0,4232.307589,4224.615281,4233.84605,4229.743486,4245.128101,4229.230666,4225.640922,4221.538358,4215.897333,4227.692204,4229.230666,4240.512717,4234.871691,4238.461435
4,0,4230.256307,4223.07682,4233.84605,4227.179384,4243.076819,4224.615281,4225.640922,4215.384512,4216.410153,4223.58964,4226.153743,4234.871691,4231.281948,4231.281948
5,0,4225.640922,4221.025538,4234.871691,4223.07682,4238.974255,4214.871692,4228.205025,4215.384512,4215.897333,4224.102461,4225.640922,4228.205025,4228.717845,4223.58964
6,0,4226.666563,4222.563999,4233.84605,4223.58964,4229.230666,4218.461435,4224.615281,4217.948615,4214.871692,4222.051179,4219.999897,4234.871691,4229.230666,4230.256307
7,0,4231.794768,4231.794768,4233.84605,4227.692204,4236.922973,4223.58964,4217.435794,4217.435794,4226.666563,4229.230666,4221.025538,4244.615281,4232.820409,4237.948614
8,0,4237.435794,4239.999896,4239.487076,4236.922973,4252.307588,4218.461435,4217.435794,4220.512717,4237.948614,4244.615281,4237.435794,4247.692204,4242.563999,4241.025537
9,0,4237.948614,4237.435794,4241.538358,4237.948614,4247.179383,4216.410153,4217.435794,4221.025538,4228.205025,4238.974255,4244.10246,4243.076819,4244.615281,4239.999896
10,0,4233.84605,4228.717845,4233.84605,4225.128102,4244.615281,4223.07682,4220.512717,4217.435794,4222.051179,4223.58964,4232.820409,4235.897332,4232.307589,4233.84605
11,0,4228.717845,4226.666563,4229.743486,4219.999897,4256.922973,4229.743486,4232.307589,4217.435794,4229.743486,4221.538358,4225.128102,4233.84605,4227.179384,4227.179384
12,0,4227.692204,4230.256307,4232.307589,4231.281948,4250.769127,4228.717845,4237.948614,4220.512717,4228.717845,4225.128102,4230.769127,4234.358871,4234.871691,4228.205025
13,0,4229.230666,4225.640922,4225.640922,4231.281948,4223.07682,4225.640922,4228.717845,4216.410153,4212.307589,4218.974256,4229.230666,4229.230666,4232.307589,4227.692204
14,0,4229.743486,4224.615281,4221.025538,4221.538358,4221.538358,4222.563999,4221.538358,4206.666564,4202.051179,4218.974256,4226.666563,4231.794768,4233.84605,4231.794768
15,0,4234.871691,4235.384512,4229.230666,4220.512717,4241.538358,4217.435794,4217.948615,4206.666564,4208.205025,4232.820409,4233.33323,4245.128101,4247.692204,4244.615281
16,0,4244.10246,4245.128101,4236.410153,4228.717845,4251.281947,4223.58964,4219.487076,4218.974256,4221.538358,4244.615281,4245.640922,4249.743486,4252.820409,4250.256306
17,0,4243.076819,4244.10246,4232.820409,4236.410153,4250.769127,4232.820409,4227.692204,4224.102461,4228.205025,4239.487076,4247.179383,4245.128101,4247.179383,4244.10246
18,0,4237.435794,4243.58964,4229.743486,4241.025537,4256.410152,4227.179384,4227.179384,4221.025538,4230.769127,4233.33323,4238.461435,4247.692204,4249.230665,4246.153742
19,0,4232.307589,4239.487076,4227.692204,4231.794768,4253.333229,4216.410153,4215.384512,4221.025538,4226.666563,4228.205025,4232.820409,4246.153742,4244.615281,4242.563999
20,0,4230.256307,4236.922973,4230.256307,4228.717845,4239.999896,4225.640922,4216.410153,4221.025538,4221.538358,4217.435794,4230.769127,4238.974255,4235.384512,4231.281948
21,0,4231.794768,4241.025537,4234.358871,4244.615281,4237.948614,4235.384512,4226.153743,4211.281948,4216.410153,4207.179384,4220.512717,4235.897332,4233.84605,4230.769127
22,0,4233.84605,4239.999896,4231.281948,4244.615281,4243.076819,4228.717845,4224.102461,4207.692205,4206.666564,4208.717846,4219.999897,4236.922973,4233.33323,4240.512717
23,0,4231.794768,4234.871691,4226.666563,4226.666563,4241.025537,4222.563999,4221.025538,4207.692205,4198.461436,4214.871692,4237.948614,4237.948614,4237.435794,4246.153742
24,0,4230.769127,4238.461435,4227.692204,4229.230666,4241.538358,4226.666563,4222.563999,4205.128102,4207.179384,4222.051179,4245.640922,4238.974255,4242.563999,4243.076819
25,0,4230.256307,4237.435794,4224.615281,4233.33323,4241.025537,4226.666563,4219.487076,4209.743487,4221.538358,4227.179384,4235.384512,4233.33323,4238.461435,4235.897332
26,0,4228.717845,4232.820409,4221.025538,4224.102461,4243.58964,4220.512717,4217.948615,4216.410153,4224.102461,4225.128102,4233.84605,4230.256307,4235.897332,4236.922973
27,0,4235.384512,4235.384512,4226.153743,4229.743486,4248.717845,4222.563999,4218.974256,4212.82041,4221.025538,4224.102461,4230.256307,4237.435794,4240.512717,4243.58964
28,0,4238.461435,4233.84605,4225.640922,4233.84605,4242.563999,4224.615281,4217.435794,4207.692205,4214.358871,4221.025538,4215.384512,4234.871691,4236.410153,4237.435794
29,0,4227.692204,4225.640922,4221.025538,4227.179384,4236.410153,4223.07682,4217.435794,4207.179384,4204.102461,4214.358871,4217.435794,4225.128102,4227.692204,4228.717845
30,0,4223.07682,4226.153743,4227.179384,4236.410153,4237.435794,4230.769127,4221.025538,4207.179384,4197.948615,4215.897333,4232.820409,4229.230666,4230.256307,4235.384512
31,0,4233.84605,4234.358871,4234.871691,4244.10246,4242.563999,4232.307589,4221.538358,4206.666564,4205.640923,4225.640922,4238.974255,4240.512717,4238.461435,4244.10246
32,0,4235.897332,4235.384512,4228.717845,4236.410153,4246.666563,4222.051179,4221.538358,4205.128102,4216.410153,4228.717845,4238.974255,4241.025537,4241.025537,4240.512717
33,0,4227.179384,4233.33323,4222.563999,4236.922973,4242.563999,4227.179384,4226.666563,4208.717846,4217.435794,4230.769127,4240.512717,4239.487076,4241.025537,4234.871691
34,0,4219.487076,4233.33323,4228.205025,4235.897332,4230.256307,4236.922973,4227.692204,4215.384512,4212.307589,4233.33323,4232.307589,4238.974255,4237.948614,4234.358871
35,0,4218.461435,4235.897332,4232.820409,4232.820409,4238.461435,4234.358871,4225.128102,4213.846051,4212.82041,4225.640922,4224.102461,4234.358871,4235.897332,4236.922973
36,0,4217.948615,4227.692204,4223.07682,4232.820409,4254.871691,4227.179384,4218.974256,4206.666564,4207.179384,4209.743487,4219.999897,4224.102461,4224.102461,4227.179384
37,0,4214.871692,4218.461435,4215.897333,4229.230666,4246.666563,4224.615281,4215.897333,4208.717846,4203.07682,4209.743487,4217.948615,4221.538358,4218.461435,4218.461435
38,0,4214.358871,4223.58964,4222.051179,4225.128102,4233.33323,4223.07682,4218.461435,4210.256307,4210.256307,4222.051179,4218.974256,4227.692204,4230.769127,4225.640922
39,0,4224.102461,4236.410153,4236.410153,4241.538358,4241.538358,4232.820409,4228.717845,4211.794769,4221.538358,4236.922973,4227.692204,4238.461435,4244.615281,4237.948614
40,0,4228.717845,4241.025537,4237.948614,4248.205024,4244.615281,4236.410153,4230.256307,4215.897333,4218.461435,4237.435794,4231.281948,4241.538358,4240.512717,4237.435794
41,0,4225.640922,4241.538358,4231.281948,4236.410153,4236.410153,4232.307589,4225.128102,4213.846051,4207.179384,4227.692204,4221.538358,4237.948614,4233.33323,4232.307589
42,0,4223.58964,4233.84605,4227.692204,4230.256307,4231.281948,4232.307589,4225.640922,4207.692205,4207.692205,4224.615281,4219.487076,4233.84605,4235.897332,4231.281948
43,0,4217.948615,4222.051179,4227.179384,4227.179384,4231.281948,4227.179384,4224.615281,4204.102461,4211.794769,4227.692204,4227.179384,4228.205025,4237.435794,4230.256307
44,0,4211.281948,4222.051179,4223.58964,4221.025538,4229.743486,4223.58964,4218.974256,4202.564,4210.256307,4225.640922,4222.563999,4219.999897,4232.820409,4229.230666
45,0,4212.82041,4225.128102,4218.974256,4223.58964,4226.153743,4227.179384,4219.487076,4202.564,4210.256307,4219.999897,4212.82041,4217.435794,4229.230666,4223.07682
46,0,4218.461435,4229.743486,4225.128102,4240.512717,4229.743486,4229.743486,4227.692204,4210.256307,4214.358871,4219.999897,4219.999897,4225.640922,4234.871691,4225.640922
47,0,4226.153743,4244.615281,4236.922973,4251.281947,4241.538358,4230.256307,4234.871691,4216.922974,4220.512717,4226.153743,4229.743486,4235.897332,4245.640922,4244.10246
48,0,4227.692204,4253.333229,4238.461435,4251.281947,4250.769127,4233.84605,4235.897332,4215.897333,4224.102461,4236.410153,4223.58964,4237.435794,4249.230665,4249.743486
49,0,4224.102461,4246.666563,4235.384512,4253.333229,4241.538358,4239.487076,4234.871691,4212.82041,4221.538358,4244.10246,4222.563999,4238.461435,4246.153742,4240.512717
50,0,4224.615281,4242.051178,4234.871691,4254.35887,4231.794768,4240.512717,4235.384512,4215.384512,4217.435794,4244.615281,4231.281948,4244.615281,4246.666563,4245.640922
51,0,4224.102461,4238.461435,4228.205025,4240.512717,4241.538358,4233.84605,4232.820409,4213.33323,4216.410153,4234.358871,4227.179384,4238.461435,4243.58964,4248.205024
52,0,4220.512717,4238.461435,4225.640922,4232.307589,4258.461434,4235.384512,4234.358871,4211.794769,4218.974256,4233.84605,4216.922974,4228.205025,4241.025537,4239.487076
53,0,4221.538358,4239.999896,4232.820409,4241.025537,4257.435793,4248.205024,4239.487076,4217.948615,4222.563999,4242.051178,4221.025538,4232.307589,4241.538358,4239.487076
54,0,4227.179384,4235.384512,4233.33323,4248.717845,4250.256306,4246.666563,4237.948614,4219.999897,4224.102461,4243.58964,4222.051179,4238.974255,4237.948614,4241.025537
55,0,4222.563999,4227.692204,4223.58964,4241.538358,4244.10246,4232.307589,4229.230666,4209.230666,4217.435794,4230.769127,4205.640923,4228.205025,4228.205025,4229.743486
56,0,4218.461435,4230.256307,4227.692204,4235.384512,4238.461435,4231.794768,4230.256307,4206.153743,4216.922974,4224.102461,4204.102461,4221.025538,4229.743486,4227.692204
57,0,4218.461435,4226.666563,4230.256307,4234.871691,4233.33323,4229.743486,4231.281948,4207.179384,4214.871692,4217.948615,4212.82041,4225.640922,4231.281948,4231.281948
58,0,4217.435794,4219.487076,4223.58964,4239.999896,4234.871691,4222.051179,4227.692204,4201.025538,4207.692205,4209.230666,4209.743487,4224.102461,4225.128102,4224.102461
59,0,4212.82041,4220.512717,4220.512717,4234.871691,4233.33323,4225.128102,4227.692204,4198.461436,4205.640923,4210.769128,4201.025538,4213.846051,4220.512717,4216.922974
60,0,4210.769128,4223.58964,4225.640922,4225.640922,4235.897332,4232.820409,4232.820409,4203.07682,4212.307589,4221.025538,4208.205025,4215.384512,4224.102461,4222.563999
61,0,4213.846051,4225.128102,4229.743486,4234.871691,4244.10246,4232.820409,4233.84605,4203.07682,4216.410153,4222.563999,4216.410153,4219.487076,4231.281948,4224.102461
62,0,4214.358871,4226.666563,4225.640922,4237.948614,4241.538358,4231.794768,4230.769127,4200.512718,4214.358871,4215.384512,4216.410153,4215.384512,4234.358871,4216.922974
63,0,4216.922974,4226.153743,4220.512717,4224.615281,4230.769127,4232.307589,4229.743486,4199.999897,4211.281948,4211.794769,4212.307589,4214.358871,4230.769127,4215.384512
64,0,4219.999897,4224.102461,4219.999897,4228.717845,4233.33323,4230.769127,4238.461435,4202.564,4212.82041,4212.307589,4207.179384,4217.948615,4227.692204,4222.563999
65,0,4225.640922,4224.615281,4225.640922,4238.974255,4242.051178,4235.384512,4244.615281,4212.307589,4218.461435,4214.871692,4211.281948,4220.512717,4231.281948,4225.128102
66,0,4234.358871,4225.128102,4226.153743,4233.33323,4234.871691,4239.999896,4238.461435,4217.435794,4221.025538,4217.435794,4218.461435,4223.58964,4232.307589,4220.512717
67,0,4232.307589,4228.205025,4223.58964,4238.974255,4231.794768,4234.358871,4230.769127,4212.82041,4224.102461,4220.512717,4219.999897,4228.717845,4231.281948,4223.07682
68,0,4225.128102,4226.153743,4224.615281,4248.205024,4239.999896,4229.230666,4228.717845,4212.82041,4228.205025,4224.102461,4216.922974,4228.205025,4230.256307,4226.153743
69,0,4224.615281,4218.461435,4224.102461,4232.820409,4244.615281,4231.794768,4230.256307,4216.922974,4224.615281,4223.07682,4216.922974,4223.07682,4227.179384,4216.922974
70,0,4224.615281,4215.384512,4220.512717,4219.487076,4238.461435,4230.769127,4229.230666,4212.82041,4215.897333,4214.871692,4215.897333,4216.410153,4223.07682,4214.358871
71,0,4223.58964,4221.025538,4223.58964,4228.717845,4232.820409,4228.717845,4230.769127,4207.692205,4213.33323,4210.256307,4210.769128,4218.974256,4224.102461,4224.615281
72,0,4224.102461,4220.512717,4228.205025,4228.717845,4235.897332,4227.179384,4229.743486,4211.281948,4215.384512,4209.743487,4204.102461,4223.58964,4222.563999,4222.051179
73,0,4225.128102,4219.487076,4229.743486,4228.205025,4242.563999,4227.692204,4231.281948,4222.563999,4223.07682,4214.358871,4210.256307,4226.153743,4221.025538,4215.897333
74,0,4226.666563,4224.102461,4230.769127,4235.897332,4238.974255,4231.794768,4239.487076,4228.205025,4227.179384,4218.461435,4218.461435,4229.230666,4223.07682,4221.025538
75,0,4227.692204,4226.153743,4234.871691,4234.871691,4228.717845,4235.897332,4245.640922,4227.179384,4225.640922,4214.871692,4213.33323,4229.743486,4221.538358,4224.615281
76,0,4222.051179,4217.948615,4231.794768,4230.256307,4225.640922,4228.717845,4241.538358,4222.051179,4224.102461,4204.615282,4206.153743,4224.102461,4214.871692,4215.897333
77,0,4221.025538,4215.897333,4229.230666,4237.948614,4230.256307,4221.025538,4237.435794,4219.999897,4224.102461,4206.666564,4215.384512,4228.205025,4217.435794,4215.384512
78,0,4227.692204,4220.512717,4231.281948,4240.512717,4233.33323,4224.615281,4238.461435,4222.051179,4224.102461,4215.897333,4221.025538,4235.384512,4225.640922,4225.640922
79,0,4229.230666,4223.58964,4232.820409,4235.897332,4232.307589,4227.179384,4238.461435,4225.640922,4226.153743,4215.897333,4208.205025,4231.281948,4224.615281,4228.717845
80,0,4228.717845,4219.999897,4232.820409,4232.820409,4221.538358,4218.974256,4234.358871,4221.538358,4223.07682,4210.256307,4204.615282,4228.205025,4219.999897,4224.615281
81,0,4230.256307,4220.512717,4237.435794,4228.205025,4217.435794,4215.384512,4232.820409,4218.974256,4215.897333,4208.205025,4218.974256,4236.922973,4225.128102,4229.230666
82,0,4234.358871,4229.230666,4241.025537,4235.384512,4230.256307,4225.128102,4239.999896,4226.666563,4225.128102,4215.384512,4228.205025,4243.58964,4227.692204,4236.410153
83,0,4235.384512,4234.358871,4237.948614,4249.230665,4233.84605,4228.717845,4246.666563,4232.307589,4233.33323,4224.615281,4225.128102,4244.615281,4228.205025,4233.84605
84,0,4234.358871,4228.205025,4233.84605,4246.153742,4219.487076,4221.538358,4242.563999,4231.794768,4225.640922,4227.692204,4226.666563,4242.051178,4232.820409,4231.281948
85,0,4230.769127,4223.07682,4226.666563,4234.358871,4218.461435,4222.563999,4239.487076,4229.743486,4223.58964,4225.640922,4227.179384,4235.384512,4230.769127,4230.256307
86,0,4228.717845,4229.743486,4226.666563,4235.384512,4235.897332,4234.871691,4246.153742,4233.84605,4232.820409,4233.84605,4220.512717,4235.897332,4231.281948,4226.666563
87,0,4227.692204,4231.794768,4228.205025,4237.948614,4231.794768,4232.820409,4242.563999,4230.769127,4228.205025,4232.820409,4214.358871,4233.33323,4233.33323,4219.487076
88,0,4224.615281,4223.58964,4221.025538,4230.769127,4214.871692,4216.922974,4227.692204,4219.487076,4212.307589,4212.307589,4211.794769,4224.102461,4221.025538,4213.33323
89,0,4224.615281,4222.051179,4219.999897,4228.205025,4217.435794,4214.871692,4230.256307,4219.487076,4209.743487,4207.692205,4219.487076,4227.692204,4219.999897,4218.974256
90,0,4231.794768,4232.820409,4231.281948,4235.384512,4230.769127,4224.615281,4245.640922,4228.717845,4222.563999,4229.743486,4234.871691,4243.076819,4240.512717,4232.307589
91,0,4233.33323,4236.410153,4230.256307,4238.974255,4226.153743,4219.487076,4239.487076,4224.615281,4220.512717,4228.205025,4233.33323,4236.410153,4238.461435,4225.640922
92,0,4229.230666,4233.84605,4222.563999,4241.025537,4220.512717,4217.948615,4228.717845,4217.948615,4213.846051,4214.358871,4226.666563,4225.128102,4226.666563,4218.461435
93,0,4228.717845,4229.230666,4228.717845,4239.487076,4220.512717,4225.640922,4233.84605,4221.025538,4220.512717,4223.07682,4230.256307,4233.84605,4235.897332,4228.205025
94,0,4230.256307,4229.230666,4234.871691,4236.922973,4224.102461,4227.692204,4239.487076,4222.051179,4227.692204,4234.871691,4228.717845,4241.538358,4239.487076,4230.256307
95,0,4226.666563,4228.205025,4227.179384,4235.384512,4228.717845,4221.538358,4234.871691,4219.999897,4214.871692,4223.58964,4217.948615,4230.769127,4221.538358,4216.922974
96,0,4225.640922,4231.794768,4224.102461,4239.487076,4231.794768,4219.999897,4233.84605,4221.538358,4203.589641,4210.769128,4214.871692,4219.487076,4212.307589,4215.897333
97,0,4224.102461,4232.307589,4221.538358,4237.435794,4226.666563,4218.461435,4233.84605,4217.948615,4204.102461,4206.153743,4207.692205,4216.410153,4209.743487,4215.897333
98,0,4223.07682,4227.179384,4218.461435,4229.230666,4223.07682,4221.025538,4234.871691,4219.999897,4204.102461,4210.256307,4205.128102,4217.435794,4210.256307,4210.256307
99,0,4224.615281,4228.205025,4222.563999,4224.102461,4225.128102,4227.692204,4237.948614,4226.153743,4204.102461,4218.974256,4215.384512,4218.974256,4218.974256,4212.82041
100,0,4225.640922,4231.794768,4226.666563,4233.84605,4230.256307,4227.179384,4234.871691,4221.025538,4204.615282,4215.384512,4212.82041,4219.999897,4216.922974,4218.461435
101,0,4223.58964,4226.666563,4221.538358,4245.640922,4233.33323,4222.563999,4231.794768,4216.410153,4201.538359,4205.128102,4202.564,4221.025538,4206.153743,4221.025538
102,0,4223.58964,4222.051179,4215.897333,4233.84605,4231.281948,4218.974256,4234.358871,4215.897333,4198.461436,4206.153743,4201.538359,4218.974256,4206.153743,4217.948615
103,0,4226.153743,4228.205025,4219.999897,4223.58964,4227.179384,4217.948615,4234.871691,4214.871692,4201.025538,4211.281948,4197.948615,4215.897333,4208.717846,4211.281948
104,0,4221.025538,4231.281948,4224.615281,4234.358871,4224.102461,4216.922974,4229.743486,4213.846051,4202.051179,4206.666564,4191.794769,4215.897333,4204.102461,4210.256307
105,0,4215.384512,4224.615281,4224.102461,4236.410153,4220.512717,4213.846051,4228.205025,4213.33323,4199.487077,4201.538359,4199.487077,4217.435794,4204.615282,4215.897333
106,0,4222.563999,4223.07682,4223.58964,4223.07682,4216.922974,4214.358871,4229.743486,4211.281948,4197.948615,4206.153743,4205.640923,4217.948615,4206.153743,4215.384512
107,0,4229.230666,4230.769127,4227.692204,4229.743486,4223.07682,4223.58964,4234.358871,4214.871692,4207.179384,4214.358871,4202.051179,4223.07682,4204.615282,4213.33323
108,0,4224.102461,4232.307589,4230.769127,4240.512717,4223.07682,4228.205025,4241.025537,4221.025538,4212.307589,4212.307589,4199.999897,4223.58964,4205.640923,4213.846051
109,0,4222.563999,4225.640922,4229.743486,4239.487076,4216.922974,4225.640922,4243.076819,4224.102461,4206.153743,4207.179384,4204.102461,4222.563999,4205.640923,4216.410153
110,0,4227.692204,4221.025538,4227.692204,4235.897332,4218.461435,4219.999897,4233.84605,4223.58964,4197.948615,4204.615282,4203.589641,4223.07682,4198.974256,4215.384512
111,0,4231.794768,4226.153743,4232.307589,4236.410153,4224.102461,4219.999897,4234.871691,4225.128102,4199.487077,4206.666564,4200.512718,4226.153743,4199.999897,4216.410153
112,0,4228.205025,4227.179384,4233.33323,4233.84605,4219.999897,4227.692204,4246.153742,4228.717845,4201.025538,4208.205025,4202.564,4228.717845,4202.051179,4223.07682
113,0,4219.999897,4223.58964,4227.179384,4234.871691,4218.974256,4233.33323,4248.205024,4230.769127,4201.538359,4208.717846,4207.692205,4230.256307,4200.512718,4226.666563
114,0,4217.435794,4221.538358,4223.07682,4232.820409,4229.230666,4230.769127,4245.128101,4223.58964,4205.128102,4209.230666,4210.769128,4227.179384,4202.564,4217.435794
115,0,4221.025538,4223.07682,4225.640922,4226.666563,4231.281948,4229.230666,4249.230665,4223.58964,4208.205025,4217.948615,4216.922974,4224.615281,4208.205025,4214.358871
116,0,4219.487076,4222.051179,4221.538358,4223.07682,4222.563999,4229.743486,4246.666563,4227.179384,4206.153743,4222.051179,4217.435794,4223.58964,4205.640923,4218.974256
117,0,4219.487076,4222.563999,4214.871692,4224.102461,4224.102461,4231.281948,4239.487076,4223.07682,4203.07682,4214.871692,4210.769128,4220.512717,4201.538359,4216.922974
118,0,4224.102461,4231.281948,4219.999897,4232.820409,4227.692204,4231.794768,4242.051178,4221.538358,4204.615282,4212.307589,4214.871692,4215.384512,4206.153743,4218.461435
119,0,4226.153743,4239.999896,4230.256307,4245.640922,4228.205025,4237.948614,4248.205024,4228.717845,4212.307589,4218.974256,4224.102461,4220.512717,4213.846051,4228.205025
120,0,4230.769127,4241.538358,4235.384512,4247.692204,4236.410153,4247.692204,4251.794768,4235.897332,4219.999897,4231.794768,4226.153743,4231.281948,4223.58964,4231.794768
121,0,4233.84605,4239.487076,4235.384512,4241.538358,4242.051178,4246.153742,4253.333229,4236.410153,4221.025538,4240.512717,4230.769127,4235.384512,4229.230666,4231.281948
122,0,4228.205025,4241.025537,4236.922973,4239.999896,4235.384512,4238.461435,4252.307588,4234.871691,4213.846051,4233.33323,4241.025537,4234.358871,4223.58964,4234.358871
123,0,4222.563999,4237.948614,4232.307589,4241.025537,4227.179384,4235.384512,4245.128101,4228.717845,4207.179384,4222.051179,4235.897332,4228.205025,4214.871692,4230.256307
124,0,4221.538358,4225.128102,4221.025538,4236.410153,4229.743486,4235.897332,4238.974255,4225.640922,4208.205025,4222.051179,4222.051179,4220.512717,4214.871692,4219.487076
125,0,4222.563999,4221.025538,4218.461435,4227.692204,4235.384512,4235.384512,4243.076819,4224.615281,4210.256307,4219.999897,4222.051179,4218.974256,4214.358871,4213.846051
126,0,4224.102461,4232.820409,4227.179384,4226.666563,4236.410153,4239.487076,4247.692204,4223.58964,4212.82041,4223.07682,4231.281948,4223.58964,4211.794769,4218.974256
127,0,4221.538358,4234.871691,4227.692204,4227.692204,4231.794768,4237.948614,4240.512717,4219.487076,4212.307589,4227.179384,4227.692204,4221.538358,4211.281948,4220.512717
128,0,4221.538358,4230.256307,4227.179384,4233.33323,4233.84605,4237.948614,4241.025537,4218.974256,4213.846051,4225.128102,4224.102461,4223.07682,4216.410153,4217.435794
0,0,4222.051179,4231.281948,4229.230666,4239.487076,4239.999896,4244.10246,4252.307588,4221.538358,4214.871692,4218.974256,4228.205025,4228.717845,4213.846051,4216.410153
1,0,4223.07682,4232.307589,4228.205025,4245.640922,4240.512717,4240.512717,4248.205024,4218.974256,4211.281948,4216.922974,4227.179384,4225.128102,4213.846051,4218.461435
2,0,4222.051179,4227.179384,4225.640922,4243.076819,4237.948614,4227.692204,4231.281948,4212.82041,4205.128102,4210.769128,4218.461435,4217.948615,4214.871692,4213.846051
3,0,4220.512717,4229.230666,4223.58964,4232.307589,4241.538358,4229.230666,4231.794768,4215.384512,4204.102461,4203.589641,4215.384512,4214.871692,4208.717846,4210.256307
4,0,4216.410153,4224.102461,4219.999897,4225.128102,4236.922973,4241.538358,4242.563999,4222.563999,4208.205025,4197.435795,4217.948615,4212.82041,4199.999897,4214.358871
5,0,4215.384512,4215.384512,4226.666563,4226.153743,4230.769127,4245.128101,4247.179383,4226.153743,4213.33323,4202.564,4226.153743,4217.948615,4206.666564,4221.025538
6,0,4221.025538,4225.128102,4234.871691,4229.230666,4230.769127,4239.487076,4248.205024,4228.205025,4221.025538,4223.58964,4233.33323,4226.666563,4222.563999,4228.205025
7,0,4228.205025,4243.076819,4234.358871,4233.33323,4227.179384,4237.435794,4248.717845,4228.205025,4223.58964,4228.717845,4234.358871,4227.179384,4227.179384,4229.743486
8,0,4230.256307,4245.640922,4234.871691,4238.974255,4227.692204,4235.384512,4243.076819,4221.025538,4215.384512,4212.307589,4232.307589,4220.512717,4222.563999,4223.07682
9,0,4222.563999,4238.461435,4236.922973,4244.615281,4236.410153,4232.307589,4237.435794,4214.358871,4212.82041,4209.230666,4227.692204,4219.487076,4216.410153,4218.461435
10,0,4216.922974,4238.974255,4229.743486,4244.10246,4233.33323,4230.256307,4236.410153,4210.769128,4217.435794,4214.871692,4222.563999,4219.487076,4213.33323,4218.461435
11,0,4214.871692,4229.743486,4217.948615,4231.281948,4218.974256,4226.666563,4233.33323,4206.153743,4204.102461,4199.999897,4215.384512,4208.205025,4209.230666,4210.256307
12,0,4211.281948,4216.410153,4218.461435,4224.102461,4225.640922,4224.102461,4231.281948,4204.615282,4189.230667,4188.717846,4210.256307,4203.589641,4203.07682,4204.615282
13,0,4207.692205,4216.922974,4224.615281,4236.410153,4233.84605,4226.153743,4230.256307,4207.179384,4199.487077,4196.922974,4207.692205,4209.743487,4197.948615,4208.205025
