title:P                                                                               , recorded:02.07.20 11.08.55, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
73,0,4231.794768,4239.487076,4224.102461,4228.205025,4226.153743,4235.897332,4232.820409,4216.922974,4225.128102,4236.922973,4223.58964,4233.84605,4237.435794,4221.538358
74,0,4229.230666,4229.230666,4221.538358,4222.563999,4220.512717,4235.384512,4233.33323,4212.307589,4220.512717,4227.692204,4221.025538,4231.281948,4234.871691,4214.358871
75,0,4232.307589,4233.84605,4225.128102,4227.692204,4217.948615,4231.281948,4230.769127,4214.871692,4223.07682,4234.358871,4233.33323,4239.487076,4245.640922,4221.538358
76,0,4230.769127,4231.281948,4221.538358,4222.051179,4210.256307,4225.128102,4228.205025,4215.897333,4227.692204,4234.358871,4230.769127,4236.410153,4247.179383,4224.615281
77,0,4222.051179,4218.974256,4211.794769,4210.769128,4212.307589,4226.153743,4230.769127,4213.846051,4231.281948,4224.102461,4215.384512,4224.615281,4232.820409,4214.871692
78,0,4225.128102,4221.538358,4211.794769,4217.435794,4226.153743,4233.33323,4232.307589,4214.871692,4230.769127,4224.102461,4215.897333,4224.102461,4228.205025,4212.82041
79,0,4232.307589,4231.794768,4219.999897,4228.205025,4232.307589,4236.922973,4233.84605,4218.974256,4229.230666,4236.922973,4228.205025,4228.205025,4237.435794,4221.025538
80,0,4225.128102,4224.615281,4215.897333,4214.871692,4225.640922,4233.84605,4232.307589,4217.948615,4228.205025,4241.025537,4229.230666,4224.102461,4237.435794,4218.974256
81,0,4221.538358,4221.538358,4209.743487,4207.179384,4226.666563,4232.820409,4226.666563,4214.871692,4227.179384,4233.33323,4222.563999,4219.999897,4231.794768,4215.897333
82,0,4224.615281,4225.640922,4211.281948,4215.897333,4227.692204,4232.820409,4224.615281,4212.307589,4224.102461,4225.640922,4215.897333,4217.435794,4228.717845,4215.897333
83,0,4223.07682,4222.051179,4214.358871,4216.410153,4218.461435,4232.820409,4225.128102,4212.307589,4221.538358,4224.102461,4213.33323,4216.410153,4223.07682,4217.435794
84,0,4219.999897,4217.435794,4213.33323,4209.743487,4214.358871,4230.769127,4220.512717,4209.743487,4216.922974,4219.999897,4212.307589,4216.922974,4215.384512,4215.897333
85,0,4224.102461,4223.58964,4214.358871,4213.846051,4223.07682,4230.256307,4221.538358,4208.205025,4214.871692,4214.871692,4213.33323,4216.410153,4216.410153,4214.871692
86,0,4229.743486,4228.205025,4219.999897,4222.051179,4222.051179,4231.281948,4228.717845,4213.846051,4217.435794,4216.922974,4216.922974,4221.538358,4224.102461,4219.999897
87,0,4228.205025,4222.563999,4223.07682,4221.538358,4211.794769,4232.820409,4231.794768,4219.999897,4219.999897,4218.974256,4217.435794,4231.281948,4224.615281,4228.205025
88,0,4229.743486,4221.538358,4223.58964,4221.025538,4219.487076,4236.410153,4234.358871,4217.948615,4220.512717,4222.563999,4216.922974,4235.897332,4224.102461,4235.897332
89,0,4234.871691,4224.102461,4223.58964,4223.07682,4229.743486,4231.794768,4232.307589,4212.82041,4219.487076,4230.256307,4220.512717,4231.281948,4229.743486,4235.384512
90,0,4228.205025,4216.922974,4217.948615,4217.435794,4221.538358,4225.128102,4224.102461,4211.794769,4218.461435,4230.256307,4215.897333,4221.025538,4226.153743,4224.615281
91,0,4218.461435,4205.640923,4211.281948,4206.666564,4212.82041,4225.128102,4221.025538,4214.358871,4215.897333,4221.025538,4204.102461,4217.435794,4215.384512,4214.358871
92,0,4225.128102,4212.82041,4214.358871,4209.230666,4220.512717,4231.794768,4225.640922,4217.948615,4218.461435,4219.999897,4205.128102,4221.538358,4217.435794,4219.487076
93,0,4231.794768,4223.07682,4219.487076,4222.051179,4228.205025,4237.435794,4229.743486,4219.487076,4221.538358,4222.563999,4208.717846,4219.487076,4221.025538,4222.563999
94,0,4224.102461,4215.897333,4218.974256,4223.58964,4229.230666,4239.487076,4230.256307,4220.512717,4223.58964,4220.512717,4205.128102,4214.358871,4218.461435,4215.897333
95,0,4220.512717,4206.666564,4216.410153,4211.281948,4223.07682,4235.384512,4224.615281,4220.512717,4224.102461,4218.974256,4206.153743,4212.307589,4217.948615,4215.384512
96,0,4226.666563,4215.384512,4217.948615,4210.769128,4223.58964,4232.307589,4223.58964,4218.974256,4223.58964,4225.128102,4214.871692,4216.410153,4225.128102,4222.051179
97,0,4225.640922,4221.538358,4214.871692,4216.922974,4225.640922,4231.281948,4227.692204,4214.358871,4223.07682,4229.743486,4217.948615,4216.410153,4225.640922,4219.487076
98,0,4218.461435,4212.307589,4212.307589,4213.33323,4214.871692,4224.615281,4224.102461,4211.794769,4220.512717,4225.128102,4210.256307,4210.769128,4218.461435,4211.794769
99,0,4215.384512,4204.615282,4212.82041,4207.692205,4206.153743,4218.974256,4218.461435,4213.33323,4214.871692,4218.974256,4204.615282,4208.717846,4210.769128,4209.743487
100,0,4223.07682,4215.897333,4217.948615,4215.897333,4219.487076,4228.717845,4227.692204,4217.435794,4217.948615,4227.692204,4213.33323,4217.435794,4217.435794,4218.461435
101,0,4226.666563,4221.025538,4222.563999,4219.487076,4229.743486,4237.948614,4233.33323,4216.922974,4227.179384,4233.84605,4218.461435,4220.512717,4227.179384,4221.538358
102,0,4223.07682,4215.897333,4221.538358,4218.974256,4226.153743,4235.384512,4227.179384,4216.410153,4227.692204,4227.692204,4211.794769,4217.435794,4223.58964,4218.974256
103,0,4219.999897,4210.256307,4216.922974,4218.461435,4219.487076,4225.640922,4220.512717,4212.307589,4219.487076,4222.051179,4206.666564,4218.461435,4216.410153,4216.922974
104,0,4216.922974,4208.205025,4212.307589,4212.82041,4212.82041,4221.538358,4218.974256,4204.102461,4216.922974,4223.07682,4208.717846,4213.33323,4217.948615,4215.897333
105,0,4216.922974,4208.717846,4209.743487,4211.281948,4212.82041,4227.692204,4222.563999,4202.564,4219.999897,4221.538358,4204.615282,4206.153743,4216.410153,4213.846051
106,0,4217.948615,4209.743487,4211.281948,4219.487076,4221.025538,4231.794768,4225.128102,4208.717846,4219.999897,4215.384512,4201.025538,4210.769128,4214.358871,4214.871692
107,0,4216.410153,4207.692205,4215.384512,4219.999897,4221.025538,4225.640922,4222.051179,4212.82041,4214.358871,4213.846051,4204.615282,4215.897333,4217.948615,4214.358871
108,0,4218.461435,4210.256307,4218.974256,4214.358871,4216.410153,4224.102461,4223.58964,4214.358871,4218.974256,4219.999897,4210.256307,4216.410153,4219.999897,4214.358871
109,0,4226.666563,4223.07682,4223.58964,4222.563999,4226.153743,4234.358871,4231.794768,4218.974256,4229.230666,4229.230666,4217.435794,4223.07682,4223.58964,4226.153743
110,0,4222.051179,4217.948615,4222.051179,4224.102461,4231.281948,4235.897332,4229.230666,4216.410153,4221.538358,4224.102461,4215.384512,4221.025538,4225.640922,4228.205025
111,0,4212.307589,4203.589641,4215.897333,4213.33323,4216.410153,4231.794768,4221.538358,4207.179384,4210.256307,4213.33323,4206.153743,4210.256307,4218.974256,4215.897333
112,0,4215.897333,4202.051179,4215.384512,4208.205025,4207.692205,4227.179384,4216.410153,4202.051179,4209.743487,4210.769128,4201.025538,4208.717846,4210.256307,4210.256307
113,0,4222.563999,4210.256307,4221.538358,4212.82041,4226.153743,4224.615281,4217.435794,4207.692205,4215.897333,4218.974256,4207.179384,4214.871692,4216.410153,4220.512717
114,0,4219.999897,4212.82041,4221.538358,4213.846051,4235.897332,4226.153743,4221.025538,4210.769128,4215.384512,4223.58964,4211.794769,4215.384512,4222.563999,4226.666563
115,0,4215.897333,4206.666564,4216.922974,4207.692205,4222.051179,4229.743486,4221.025538,4207.179384,4210.769128,4217.948615,4208.205025,4214.871692,4217.948615,4223.07682
116,0,4213.846051,4202.051179,4213.846051,4204.102461,4213.846051,4228.205025,4218.461435,4207.692205,4212.307589,4214.871692,4206.153743,4212.82041,4215.384512,4221.025538
117,0,4216.410153,4211.281948,4217.435794,4211.794769,4223.07682,4233.33323,4225.128102,4215.897333,4223.58964,4223.58964,4214.871692,4215.384512,4224.615281,4223.58964
118,0,4218.461435,4213.33323,4217.948615,4208.717846,4223.07682,4235.897332,4226.666563,4212.82041,4224.102461,4222.051179,4217.435794,4217.948615,4226.666563,4222.051179
119,0,4218.974256,4206.153743,4214.871692,4197.435795,4212.82041,4227.692204,4219.487076,4203.07682,4213.33323,4208.717846,4210.769128,4215.384512,4220.512717,4222.051179
120,0,4223.07682,4212.307589,4214.871692,4202.564,4208.717846,4227.179384,4221.538358,4203.07682,4211.281948,4207.692205,4210.256307,4215.384512,4220.512717,4224.615281
121,0,4227.179384,4221.025538,4214.358871,4209.230666,4212.307589,4234.871691,4228.205025,4212.82041,4214.871692,4213.846051,4212.82041,4221.025538,4222.563999,4223.07682
122,0,4224.615281,4214.871692,4211.281948,4203.589641,4211.794769,4232.307589,4222.563999,4214.871692,4215.384512,4208.717846,4206.666564,4218.461435,4216.922974,4218.974256
123,0,4225.640922,4214.871692,4212.82041,4204.615282,4205.128102,4227.692204,4215.384512,4213.33323,4214.871692,4206.666564,4203.589641,4213.846051,4215.897333,4219.487076
124,0,4228.205025,4222.051179,4215.897333,4208.205025,4207.692205,4229.230666,4215.897333,4215.384512,4211.281948,4207.692205,4204.102461,4217.948615,4218.461435,4220.512717
125,0,4223.07682,4219.487076,4213.33323,4203.07682,4215.384512,4223.58964,4215.897333,4212.307589,4203.07682,4197.435795,4197.435795,4214.871692,4209.743487,4216.410153
126,0,4223.07682,4219.487076,4213.33323,4204.615282,4218.974256,4219.999897,4213.846051,4209.743487,4201.025538,4188.717846,4191.794769,4206.666564,4201.538359,4211.281948
127,0,4232.307589,4227.692204,4218.461435,4212.82041,4224.102461,4231.794768,4217.948615,4215.897333,4207.692205,4196.410154,4197.435795,4209.743487,4211.281948,4215.384512
128,0,4230.769127,4229.743486,4219.999897,4216.410153,4228.717845,4236.922973,4222.563999,4222.051179,4211.281948,4206.153743,4203.589641,4217.948615,4219.487076,4224.102461
0,0,4219.487076,4219.487076,4213.33323,4205.128102,4215.897333,4220.512717,4213.846051,4215.897333,4202.051179,4197.948615,4198.974256,4211.794769,4211.794769,4218.461435
1,0,4221.538358,4216.410153,4214.871692,4201.538359,4204.102461,4212.82041,4209.230666,4210.256307,4194.871692,4193.333231,4195.897333,4205.640923,4209.230666,4212.307589
2,0,4229.230666,4225.128102,4222.051179,4216.410153,4209.743487,4223.07682,4217.435794,4217.948615,4203.07682,4206.666564,4199.487077,4212.82041,4216.410153,4218.974256
3,0,4230.256307,4229.230666,4223.07682,4222.051179,4219.487076,4229.230666,4222.563999,4227.179384,4213.846051,4216.410153,4204.615282,4216.922974,4220.512717,4225.640922
4,0,4225.640922,4222.563999,4218.974256,4208.205025,4215.384512,4222.563999,4216.922974,4223.58964,4212.307589,4209.743487,4205.640923,4214.358871,4216.922974,4223.07682
5,0,4228.717845,4224.615281,4224.615281,4205.128102,4206.666564,4224.615281,4218.974256,4222.051179,4212.307589,4210.769128,4207.692205,4218.974256,4217.948615,4223.58964
6,0,4234.358871,4230.769127,4230.256307,4213.846051,4206.666564,4232.820409,4222.051179,4225.640922,4214.871692,4219.487076,4209.743487,4223.07682,4222.051179,4225.640922
7,0,4233.33323,4230.769127,4227.179384,4217.948615,4221.025538,4230.256307,4218.974256,4222.051179,4214.871692,4222.051179,4208.205025,4219.999897,4222.051179,4223.58964
8,0,4230.769127,4230.769127,4225.640922,4216.410153,4227.692204,4223.07682,4215.897333,4215.384512,4210.769128,4217.948615,4202.564,4214.871692,4217.948615,4223.58964
9,0,4231.794768,4231.794768,4226.153743,4214.358871,4221.538358,4225.128102,4215.897333,4215.897333,4210.769128,4214.358871,4201.025538,4214.871692,4217.948615,4226.666563
10,0,4226.666563,4226.666563,4218.461435,4210.256307,4220.512717,4224.615281,4213.33323,4213.846051,4209.230666,4210.256307,4202.051179,4211.281948,4218.974256,4221.025538
11,0,4223.58964,4231.794768,4216.410153,4213.33323,4228.205025,4219.487076,4213.846051,4209.230666,4205.128102,4209.743487,4202.564,4208.205025,4221.025538,4215.897333
12,0,4233.33323,4244.10246,4227.692204,4222.051179,4231.794768,4221.025538,4215.897333,4211.281948,4205.640923,4216.410153,4208.717846,4211.794769,4229.743486,4224.615281
13,0,4236.410153,4244.10246,4231.281948,4224.102461,4228.717845,4222.563999,4213.846051,4214.871692,4208.205025,4216.410153,4210.769128,4210.256307,4233.84605,4229.743486
14,0,4225.128102,4236.922973,4222.051179,4217.435794,4223.58964,4222.563999,4212.307589,4212.82041,4205.128102,4206.666564,4204.615282,4203.589641,4227.692204,4224.102461
15,0,4222.563999,4235.384512,4219.487076,4215.384512,4226.153743,4226.153743,4214.358871,4214.358871,4198.974256,4206.666564,4206.666564,4206.666564,4227.692204,4225.128102
16,0,4229.743486,4239.999896,4225.640922,4225.128102,4236.410153,4231.281948,4218.461435,4223.58964,4207.179384,4222.051179,4217.948615,4216.410153,4234.871691,4233.33323
17,0,4225.128102,4235.384512,4223.58964,4223.58964,4224.102461,4225.128102,4217.435794,4224.615281,4215.384512,4225.128102,4214.871692,4214.358871,4232.307589,4228.205025
18,0,4218.461435,4224.102461,4217.435794,4213.846051,4207.692205,4221.025538,4213.846051,4217.948615,4209.743487,4218.461435,4206.666564,4209.743487,4228.205025,4218.974256
19,0,4222.051179,4219.999897,4217.435794,4211.281948,4217.948615,4224.615281,4214.358871,4215.384512,4206.666564,4221.538358,4208.205025,4211.794769,4230.769127,4219.999897
20,0,4228.205025,4224.615281,4221.025538,4214.358871,4232.307589,4221.538358,4214.871692,4216.410153,4210.769128,4226.666563,4212.82041,4216.410153,4234.358871,4228.205025
21,0,4228.205025,4226.666563,4216.410153,4214.358871,4227.179384,4216.410153,4210.769128,4214.871692,4211.794769,4225.640922,4212.82041,4212.307589,4230.769127,4226.666563
22,0,4228.205025,4228.717845,4215.384512,4219.487076,4225.640922,4228.205025,4214.358871,4219.999897,4216.922974,4229.743486,4210.256307,4209.743487,4231.794768,4221.025538
23,0,4225.128102,4227.179384,4216.410153,4217.948615,4226.666563,4233.84605,4216.922974,4221.538358,4214.871692,4228.205025,4201.538359,4205.128102,4230.769127,4217.435794
24,0,4217.435794,4221.538358,4209.743487,4208.205025,4221.538358,4222.563999,4209.743487,4214.358871,4201.025538,4218.974256,4196.922974,4198.461436,4221.025538,4214.358871
25,0,4216.410153,4221.025538,4208.205025,4209.743487,4221.538358,4215.897333,4205.128102,4214.358871,4196.410154,4216.922974,4198.461436,4196.410154,4213.846051,4211.281948
26,0,4224.615281,4227.692204,4219.487076,4218.974256,4224.615281,4224.102461,4217.948615,4224.615281,4209.230666,4223.07682,4201.025538,4204.615282,4218.974256,4213.846051
27,0,4229.230666,4225.640922,4222.563999,4214.358871,4221.538358,4227.179384,4225.128102,4226.153743,4216.410153,4223.58964,4202.564,4210.769128,4222.563999,4216.922974
28,0,4229.230666,4225.128102,4219.487076,4212.82041,4224.102461,4223.58964,4219.487076,4224.615281,4215.897333,4222.051179,4208.205025,4214.871692,4223.07682,4218.974256
29,0,4228.717845,4228.205025,4219.999897,4222.051179,4227.179384,4224.102461,4218.974256,4226.153743,4217.948615,4226.153743,4212.307589,4217.948615,4226.666563,4218.974256
30,0,4228.205025,4226.153743,4220.512717,4221.538358,4228.717845,4227.692204,4226.153743,4223.58964,4218.461435,4229.230666,4213.33323,4216.922974,4229.743486,4219.999897
31,0,4225.128102,4222.563999,4218.974256,4214.871692,4230.769127,4226.153743,4223.07682,4219.487076,4213.33323,4224.102461,4210.256307,4212.307589,4226.153743,4219.999897
32,0,4219.999897,4219.999897,4211.794769,4212.82041,4219.999897,4222.563999,4213.846051,4217.948615,4207.179384,4216.922974,4201.538359,4205.128102,4217.948615,4215.897333
33,0,4215.384512,4217.435794,4206.153743,4210.769128,4205.640923,4223.58964,4211.794769,4215.897333,4207.179384,4218.461435,4201.025538,4202.564,4216.410153,4214.358871
34,0,4217.948615,4221.025538,4214.358871,4212.307589,4214.871692,4228.205025,4222.051179,4219.487076,4213.33323,4227.692204,4211.281948,4211.281948,4224.102461,4218.461435
35,0,4224.615281,4226.666563,4222.051179,4217.948615,4228.717845,4232.307589,4230.769127,4228.205025,4216.922974,4231.794768,4217.948615,4216.922974,4231.281948,4222.563999
36,0,4223.07682,4221.538358,4214.871692,4215.897333,4222.051179,4228.205025,4224.615281,4224.102461,4213.33323,4223.58964,4210.769128,4211.794769,4227.179384,4218.974256
37,0,4220.512717,4221.025538,4213.33323,4216.410153,4217.435794,4222.051179,4217.435794,4219.999897,4211.794769,4222.051179,4207.692205,4213.33323,4220.512717,4222.051179
38,0,4222.051179,4227.692204,4219.999897,4222.051179,4223.07682,4225.128102,4223.58964,4225.640922,4215.897333,4230.769127,4213.846051,4219.999897,4224.102461,4229.743486
39,0,4225.640922,4225.640922,4219.487076,4223.58964,4225.640922,4230.769127,4231.794768,4228.205025,4216.410153,4228.717845,4214.871692,4221.538358,4230.769127,4231.281948
40,0,4225.640922,4217.948615,4213.846051,4219.999897,4224.615281,4229.743486,4228.717845,4222.051179,4212.82041,4216.922974,4209.230666,4221.025538,4227.692204,4228.205025
41,0,4229.230666,4225.128102,4219.999897,4224.102461,4228.717845,4231.794768,4228.717845,4222.563999,4218.461435,4227.179384,4211.794769,4224.615281,4226.666563,4229.743486
42,0,4232.307589,4231.281948,4225.128102,4226.666563,4226.153743,4229.230666,4230.256307,4224.615281,4220.512717,4236.410153,4213.846051,4225.128102,4225.640922,4228.205025
43,0,4231.794768,4227.179384,4223.07682,4227.179384,4225.640922,4228.205025,4230.769127,4222.563999,4216.922974,4227.692204,4212.82041,4226.153743,4221.538358,4224.615281
44,0,4228.717845,4221.025538,4221.025538,4225.128102,4223.07682,4230.769127,4232.820409,4221.538358,4221.538358,4224.102461,4213.33323,4227.692204,4221.538358,4225.128102
45,0,4229.230666,4222.051179,4222.563999,4224.102461,4214.358871,4229.230666,4234.358871,4223.07682,4227.179384,4228.717845,4217.948615,4227.179384,4227.179384,4231.281948
46,0,4231.281948,4223.07682,4224.102461,4228.205025,4209.743487,4221.025538,4230.256307,4217.948615,4216.922974,4221.538358,4218.461435,4226.153743,4223.07682,4231.794768
47,0,4229.230666,4218.461435,4223.58964,4228.205025,4214.871692,4219.999897,4225.128102,4210.769128,4207.692205,4214.358871,4214.871692,4224.102461,4214.871692,4223.58964
48,0,4229.743486,4216.410153,4222.563999,4221.025538,4220.512717,4222.563999,4224.102461,4212.307589,4211.794769,4221.538358,4215.384512,4225.128102,4216.922974,4222.051179
