Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Myanmar,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",8.427677575,8.699746636,7.030816998,8.072204726,7.6961041770000005,7.7500672470000005,7.622153309,7.651543853,7.659390693
Malaysia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.69372252,6.012690036,4.967674266,4.3,4.6,4.7,4.9,5.0,5.0
Lao People's Democratic Republic,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.967987411,7.5005738079999995,7.55931228,7.478469027,7.263841028,7.304080233,7.212946542999999,7.082066837,7.0970851360000005
Indonesia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.557263689,5.0238890519999995,4.7939213039999995,4.935120756,5.3000372360000005,5.500112732000001,5.799740428,6.000212453,6.000853182999999
Cambodia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.4279000989999995,7.071525352,7.036087179,6.991899377,6.9114062060000006,6.794893054,6.757324767,6.5191234929999995,6.285017647
Brunei Darussalam,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-2.124783186,-2.34864098,-0.55074411,0.37632380299999996,3.9471957289999997,1.712029751,9.064160008,13.02862346,13.17115744
ASEAN,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.05899859,4.60358268,4.764492865,4.833352376000001,5.108379495,5.209726477,5.3929870179999995,5.528551172999999,5.543085058
Nepal,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.128877676,5.988933368,2.725365459,0.560589013,4.0479308210000005,3.766571915,3.82004543,3.788579051,3.8340265560000004
Sri Lanka,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.3957227739999998,4.878640647,4.785933632,5.0,5.0,5.0,5.2,5.4,5.5
India,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.638755462000001,7.243509024,7.563387556,7.6166779060000005,7.608115607999999,7.668814563,7.8275265560000005,7.955524586,8.122209587
Bangladesh,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.03803736,6.314085212999999,6.811657422000001,6.923036251,6.9032882010000005,7.0,7.0,6.741545894,6.5
South Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.207929527999999,6.809899054,7.081902014,7.197007056,7.247304067000001,7.329195959,7.499186988,7.597139806,7.729264327
Taiwan Province of China,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.2024403919999997,3.924934953,0.6478977429999999,0.972080981,1.6648038509999998,1.934578815,2.249272252,2.544222024,2.7434067260000004
"Korea, Republic of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.8962200539999996,3.341447519,2.611935409,2.720195585,3.0380684139999996,3.059220538,3.007748199,2.998755143,2.982417041
"China, P.R.: Hong Kong","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.08804821,2.68193502,2.436791891,1.438521079,1.8537136969999999,2.807975425,3.220050234,3.082651701,2.9376018960000003
"China, P.R.: Mainland","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.8,7.3,6.9,6.588139633,6.1705861429999995,6.03,6.0,5.9,5.8
New Zealand,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.680001557,3.0216151019999997,2.998963952,2.76584073,2.706633215,2.592582276,2.494073845,2.5392993219999997,2.566014115
Japan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.356736022,-0.027780887,0.539349864,0.509566308,0.5626373060000001,0.453037588,0.675805708,0.117260042,0.61279328
Australia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.005601553,2.687196637,2.443814096,2.869979044,2.665295075,2.892838378,2.9899492569999997,2.9441930339999995,2.827654025
Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.797520502,5.580187607,5.433416152,5.4004752620000005,5.346727493,5.367463885,5.486507948,5.485341197,5.551937927999999
