User ID;Category 1;Category 2;Category 3;Category 4;Category 5;Category 6;Category 7;Category 8;Category 9;Category 10
User 33;0.64;2;1.Haz;0.41;2.Aðu;Þub.22;Mar.19;2.Aðu;Oca.76;Þub.72
User 34;1.Haz;1.Ara;0.21;0.58;0.98;2.May;Mar.18;2.Eyl;Oca.92;Þub.74
User 35;0.96;Oca.16;0.45;0.29;0.98;Oca.42;Mar.18;Þub.94;2.Þub;3.Þub
User 36;0.88;0.96;Oca.18;0.43;0.74;Oca.52;Mar.18;3.Oca;Oca.63;Þub.94
User 37;0.7;Oca.28;Oca.15;0.32;0.4;1.Oca;Mar.18;Þub.78;Oca.76;2.Eyl
User 38;1.Þub;Oca.36;0.91;0.5;0.72;Oca.22;Mar.18;Þub.91;Oca.92;3.Þub
User 39;0.7;Oca.52;Þub.37;0.62;0.86;Oca.68;3.Þub;Þub.86;1.Haz;Þub.58
User 40;Oca.38;1.Aðu;0.18;0.62;0.14;Oca.46;Mar.18;Þub.88;Oca.66;Þub.42
User 41;0.99;Oca.24;0.15;0.24;Oca.38;Oca.98;Mar.17;Þub.61;1.Þub;3.Haz
User 42;0.58;Oca.48;0.19;0.41;0.5;0.98;Mar.16;Þub.74;Oca.57;Mar.38
User 43;0.67;Oca.24;0.61;0.24;1.Haz;1.Eyl;Mar.18;Þub.82;Oca.25;Þub.88
User 44;1.Þub;2;0.42;0.56;0.46;2.Haz;Mar.18;Þub.86;2.May;Þub.66
User 45;0.64;Oca.64;0.34;0.62;0.64;Þub.22;Mar.18;3.Oca;Oca.98;2.Aðu
User 46;1.Tem;1.Nis;0.61;0.39;0.7;Oca.46;Mar.17;2.Eyl;Oca.82;Mar.38
User 47;0.38;1.Aðu;0.77;0.34;1.Haz;Oca.46;Mar.18;Mar.15;Þub.18;Mar.22
User 48;0.9;1.Þub;Oca.24;0.35;0.88;Oca.86;Mar.18;Þub.86;Oca.47;Þub.94
User 49;0.45;Þub.96;0.26;0.4;0.56;Oca.68;Mar.18;2.Eyl;Oca.44;Þub.72
User 50;0.61;1.Aðu;Þub.22;0.65;1.Þub;2.Haz;Mar.19;Þub.62;Oca.31;Þub.34
User 51;1.Þub;1.Þub;0.3;0.38;1.Oca;1.Eyl;Mar.17;Þub.93;Oca.34;Mar.42
User 52;0.42;Oca.48;2.Haz;0.48;0.96;1.Nis;Mar.18;Þub.71;Oca.76;Þub.86
User 53;0.8;Oca.88;0.66;0.47;Þub.54;Þub.18;Mar.18;Þub.59;Oca.89;3.Þub
User 54;1.Þub;0.64;1.Ara;0.51;0.8;Oca.82;Mar.18;Þub.82;1.May;Þub.56
User 55;1.Þub;1.Þub;0.37;0.58;0.54;1.Tem;Mar.17;Þub.78;Oca.66;Mar.42
User 56;0.61;Oca.68;0.46;0.37;0.86;1.Oca;Mar.17;Þub.94;Oca.31;3.Ara
User 57;0.8;Oca.16;Þub.43;0.54;1.Haz;Þub.28;Mar.19;Þub.86;Oca.44;Þub.48
User 58;0.93;Oca.48;0.78;0.39;0.7;1.Tem;Mar.18;Þub.82;Oca.41;Þub.88
User 59;0.64;1.Þub;Þub.27;0.64;Oca.42;Þub.83;3.Þub;Þub.79;Oca.47;Þub.38
User 60;0.83;1.Nis;Oca.23;0.64;1.Þub;Þub.54;Mar.18;Þub.81;1.Haz;Þub.54
User 61;1.Haz;Oca.92;3.Kas;0.55;Oca.46;Mar.24;3.Þub;Þub.62;Oca.28;Þub.34
User 62;Oca.98;0.96;0.18;0.45;0.16;0.82;Mar.18;3.Mar;1.Þub;Þub.78
User 63;0.9;1.Ara;0.22;0.45;0.32;1.Oca;Mar.18;Þub.82;2.Aðu;Þub.96
User 64;0.51;1.Haz;0.37;0.42;0.48;Oca.36;Mar.18;3.Oca;Oca.34;3.Nis
User 65;Oca.41;1.Ara;0.68;0.37;Oca.14;Oca.76;Mar.18;2.Eyl;1.May;3.Oca
User 66;Oca.47;0.72;0.53;0.62;0.48;1.Eyl;Mar.18;Þub.78;Oca.63;Þub.88
User 67;0.99;Oca.28;Þub.32;0.43;0.16;1.Haz;Mar.18;Þub.79;1.Eyl;Mar.34
User 68;0.93;1;0.61;0.5;0.8;Oca.52;Mar.18;Þub.77;Oca.28;Þub.94
User 69;0.51;1.Aðu;Oca.92;0.34;1.Nis;1.Mar;Mar.18;2.Aðu;1.Eyl;Þub.88
User 70;0.54;Oca.44;0.72;0.48;0.7;Oca.36;Mar.18;Þub.74;1.May;Þub.54
User 71;1.Haz;0.8;0.38;0.67;0.5;1.May;Mar.18;Þub.82;Oca.28;Þub.46
User 72;0.83;1.Nis;Þub.94;0.96;0.88;Oca.86;3.Þub;Þub.82;Oca.25;Þub.34
User 73;0.74;Þub.24;0.14;0.47;Oca.22;Oca.88;Mar.17;Þub.81;Oca.98;Þub.58
User 74;0.9;1.Aðu;Þub.48;0.41;0.82;Oca.78;Mar.18;Þub.83;Oca.41;Mar.46
User 75;Oca.31;Oca.36;Oca.47;0.56;0.78;2;Mar.19;Þub.86;Oca.63;Þub.42
User 76;0.99;Þub.96;Oca.71;0.45;Oca.36;Oca.96;Mar.19;Þub.69;Oca.38;Þub.32
User 77;Oca.28;1.Ara;1.Nis;0.42;0.7;1.Mar;Mar.18;Þub.81;Oca.86;Mar.36
User 78;0.8;Oca.76;Þub.53;0.65;1.Nis;Þub.22;Mar.19;Þub.79;Oca.63;Þub.46
User 79;0.83;1.Aðu;0.67;0.35;0.54;1.Haz;Mar.17;Þub.78;Oca.25;3.Haz
User 80;0.7;1.Nis;0.19;0.47;0.78;Þub.42;Mar.17;2.Tem;1.Ara;Þub.98
User 81;2.Aðu;0.92;0.8;0.4;0.54;1.Tem;Mar.17;3.Tem;Oca.54;Mar.42
User 82;0.74;Oca.32;0.93;0.46;0.66;Oca.82;Mar.18;Þub.83;Oca.86;Þub.54
User 83;0.7;Oca.52;0.45;Oca.65;0.32;0.86;Mar.17;Þub.62;2.May;3.Nis
User 84;Oca.25;0.92;0.86;0.58;0.66;Oca.98;Mar.18;Þub.88;1.Ara;Þub.66
User 85;Oca.92;0.28;1.Ara;0.5;0.88;Oca.96;Mar.18;Þub.96;Oca.86;Þub.58
User 86;0.74;Oca.84;0.24;0.34;0.8;Oca.66;Mar.17;Þub.87;1.May;Mar.34
User 87;0.7;0.76;0.72;1.Oca;0.42;Oca.54;Mar.18;Þub.69;Oca.41;Þub.56
User 88;0.64;1.Aðu;0.19;0.39;0.5;0.9;Mar.17;Þub.79;Oca.18;3.Ara
User 89;0.64;Þub.36;0.14;Oca.68;1.Þub;Oca.76;Mar.18;Þub.71;Oca.22;Þub.42
User 90;0.67;2.Aðu;1.Nis;0.54;0.74;Oca.64;Mar.18;Þub.86;Oca.57;Þub.64
User 91;Oca.38;1.Ara;0.72;0.53;0.88;Oca.36;Mar.18;Þub.81;Oca.79;Mar.26
User 92;0.56;Oca.16;0.13;0.49;0.54;0.9;Mar.17;Þub.91;Oca.54;Þub.64
User 93;1.Oca;2.Nis;Þub.45;0.54;Oca.44;Þub.28;Mar.19;Þub.74;Oca.63;Þub.42
User 94;0.64;1.Þub;Þub.27;0.64;Oca.42;Þub.83;3.Þub;Þub.79;Oca.47;Þub.38
User 95;0.99;2;Þub.13;0.64;Oca.82;2.Haz;Mar.19;Þub.67;1.May;Þub.46
User 96;1.Ara;0.96;0.3;0.46;0.56;Oca.92;Mar.18;Þub.98;Oca.22;Þub.94
User 97;0.9;Oca.44;Þub.34;0.55;0.94;Þub.14;Mar.19;Þub.79;Oca.79;Þub.82
User 98;0.9;0.56;Oca.38;0.37;0.8;1.Eyl;Mar.18;Þub.91;Oca.41;Þub.54
User 99;1.Þub;0.88;Þub.67;0.53;1.Þub;Oca.78;Mar.19;Þub.86;Þub.14;Þub.78
User 100;0.67;1.Haz;0.21;0.47;Þub.16;Oca.96;Mar.17;Þub.86;3.Nis;3.Oca
User 101;0.9;0.96;0.38;0.5;0.78;2.Oca;Mar.18;2.Eyl;Oca.79;Þub.82
User 102;0.64;1.Ara;0.4;0.37;0.64;1.Ara;Mar.18;Þub.94;Oca.76;3.Haz
User 103;0.99;2.Ara;Oca.41;0.65;0.96;Þub.94;Mar.19;Þub.82;Oca.41;Þub.42
User 104;0.88;1.Þub;0.16;0.45;0.5;1;Mar.18;Þub.67;Oca.79;Þub.86
User 105;Oca.47;0.84;0.64;0.39;0.32;Oca.18;Mar.17;2.Eyl;Oca.73;Mar.46
User 106;0.86;0.88;Þub.85;0.39;0.42;Oca.54;3.Þub;Þub.73;1.Tem;Þub.46
User 107;1.Tem;0.56;0.93;0.53;1.Mar;Þub.62;Mar.18;Þub.94;Þub.27;Þub.74
User 108;0.99;1.Þub;0.38;0.43;0.8;1.Oca;Mar.16;Þub.74;Oca.15;Mar.42
User 109;Oca.76;0.04;0.43;0.39;1.May;Oca.62;Mar.17;2.Aðu;0.96;Mar.18
User 110;0.8;Þub.16;1.Ara;0.53;Oca.54;Þub.34;Mar.18;Þub.83;Þub.24;Þub.78
User 111;0.9;1.Aðu;Oca.25;0.67;0.86;Oca.86;Mar.19;Þub.96;Þub.46;Þub.98
User 112;0.9;1.Aðu;Oca.65;0.34;0.7;Oca.44;Mar.18;Þub.85;Oca.15;Þub.86
User 113;0.9;Oca.84;0.51;0.66;1.Nis;Oca.78;Mar.18;Þub.79;Oca.86;Þub.54
User 114;0.35;Oca.36;Oca.41;0.49;1.Oca;1.May;Mar.18;3.Nis;Oca.28;Þub.48
User 115;0.83;1.Nis;Þub.94;0.96;0.88;Oca.86;3.Þub;Þub.82;Oca.25;Þub.34
User 116;Oca.15;Oca.28;0.18;0.61;0.7;2.Mar;Mar.18;3.Oca;Oca.73;Þub.34
User 117;0.64;Oca.72;Oca.25;0.51;0.72;2.Nis;Mar.19;Þub.83;Oca.76;2.Nis
User 118;0.61;Oca.32;0.78;0.54;1.Ara;Oca.74;Mar.18;Þub.78;Oca.79;Þub.94
User 119;0.54;1.Þub;Oca.17;0.45;1.Nis;Oca.38;Mar.18;Þub.58;Oca.82;Þub.94
User 120;1.Haz;1.Haz;1.Oca;0.43;0.86;Oca.84;Mar.18;2.Tem;0.96;Mar.18
User 121;0.86;Oca.96;Oca.25;0.56;Oca.66;2.Eyl;Mar.18;Þub.82;Oca.44;2.May
User 122;0.77;1.Nis;0.26;0.66;Oca.42;2;Mar.18;Þub.82;1.Haz;Þub.64
User 123;0.93;Þub.68;1.Mar;0.42;Oca.42;Þub.22;Mar.19;Þub.58;Oca.31;Þub.38
User 124;Oca.98;0.48;0.75;0.69;0.88;Þub.62;Mar.18;Þub.86;Oca.54;Þub.38
User 125;0.74;Oca.52;Oca.38;0.59;1.Oca;2;Mar.18;Þub.72;Oca.47;Þub.74
User 126;0.64;Oca.36;0.19;0.46;0.78;Oca.58;Mar.18;Þub.79;Oca.31;Þub.82
User 127;0.51;Oca.44;0.42;0.33;0.74;1.Mar;Mar.18;Þub.77;Oca.18;Þub.98
User 128;1.Haz;Oca.68;1.Þub;0.66;0.72;2.Þub;Mar.18;Þub.81;Oca.41;Þub.56
User 129;1.Eyl;Oca.48;0.99;0.35;1.Ara;Oca.78;Mar.17;Þub.89;Oca.31;Mar.34
User 130;0.54;1.Þub;0.45;0.39;0.88;Oca.66;Mar.18;2.Tem;Oca.57;Þub.78
User 131;0.9;0.88;Oca.52;0.46;0.8;Oca.48;Mar.18;Þub.71;0.99;Þub.88
User 132;0.83;Oca.68;Oca.14;0.51;Oca.66;Þub.78;Mar.18;Þub.85;1.Tem;Þub.54
User 133;0.93;Oca.64;Oca.73;0.55;Oca.46;Oca.98;Mar.18;Þub.74;Oca.89;Þub.94
User 134;0.38;Oca.28;Oca.54;0.62;1.Tem;Þub.16;Mar.18;3.Þub;Oca.31;2.May
User 135;0.51;Oca.64;0.27;0.3;0.78;Oca.86;Mar.17;Þub.69;2.May;Mar.34
User 136;0.8;0.96;0.73;0.61;1.Oca;Þub.82;Mar.18;Þub.99;Þub.14;Þub.54
User 137;Oca.15;Oca.72;Oca.62;0.61;0.78;Oca.94;Mar.19;3.Þub;Oca.47;Þub.54
User 138;0.51;Oca.16;Oca.66;0.53;Oca.58;1.Eyl;Mar.18;Þub.85;Oca.28;Þub.88
User 139;0.96;1.Nis;0.74;0.37;0.86;Oca.98;Mar.18;2.Aðu;Oca.44;3.Haz
User 140;1.Eyl;Oca.32;0.74;0.39;0.5;1.Haz;Mar.18;3.Oca;Oca.86;3.Þub
User 141;0.74;Oca.28;0.26;0.3;Oca.14;Oca.96;Mar.17;Þub.93;Oca.73;Mar.34
User 142;0.8;1.Ara;0.19;0.46;0.82;Oca.48;Mar.18;Þub.82;1.Tem;Þub.96
User 143;0.86;Oca.96;0.61;0.42;Oca.22;Oca.86;Mar.17;2.Tem;Oca.22;3.Oca
User 144;0.61;1.Nis;0.34;0.45;0.22;1.Eyl;Mar.18;Þub.71;Þub.37;Þub.62
User 145;0.9;1.Nis;0.19;0.59;1.Nis;Oca.88;Mar.17;3.Haz;Þub.21;3.Þub
User 146;0.96;Þub.96;0.29;0.38;0.88;2.Aðu;Mar.17;Þub.93;Oca.66;Mar.42
User 147;1.Eyl;0.6;0.19;0.61;Oca.62;Þub.44;Mar.18;Þub.74;Oca.38;Þub.46
User 148;0.8;Oca.24;Oca.98;0.67;Oca.38;Þub.42;Mar.19;3.Ara;1.May;Þub.62
User 149;0.86;Oca.28;1.Oca;0.55;Oca.26;2.Ara;Mar.18;Þub.86;Oca.92;Þub.94
User 150;0.77;Oca.52;Oca.33;0.51;Oca.34;Þub.46;Mar.18;2.Aðu;1.Haz;Þub.54
User 151;Oca.18;1.Ara;1.Oca;0.39;1.Þub;2.Þub;Mar.18;Þub.93;Oca.47;3.Oca
User 152;0.74;Oca.64;0.18;0.55;0.94;2;Mar.18;Þub.74;1.May;Þub.98
User 153;0.64;1.Haz;0.21;0.54;0.62;Oca.22;Mar.18;Þub.85;Oca.44;Þub.66
User 154;0.64;Oca.56;0.22;0.57;0.5;2.Þub;Mar.18;Þub.66;Oca.34;Þub.78
User 155;1.Eyl;Oca.44;0.22;0.37;0.34;Oca.94;Mar.18;Þub.73;Oca.66;Þub.62
User 156;1.Þub;Oca.16;Oca.22;0.29;0.94;Oca.66;Mar.18;2.Aðu;2.Aðu;Mar.42
User 157;0.9;Oca.64;0.32;0.5;Oca.34;2.Þub;Mar.18;3.Haz;Oca.57;Þub.86
User 158;2.May;1.Ara;0.7;0.37;0.5;1.Nis;Mar.17;Þub.77;Oca.98;Mar.44
User 159;Oca.18;2.Nis;Oca.89;0.5;Oca.66;Þub.18;Mar.19;Þub.83;Oca.41;Þub.34
User 160;1.Haz;Oca.76;1.Þub;0.27;0.24;Oca.16;Mar.18;Þub.63;Oca.28;Mar.36
User 161;0.58;1.Ara;Oca.57;0.45;0.78;1.May;Mar.18;Þub.77;Oca.44;2.Eyl
User 162;Oca.15;1.Aðu;0.51;0.37;0.34;0.98;Mar.17;Þub.58;Þub.21;Mar.36
User 163;0.9;Oca.84;0.51;0.66;1.Nis;Oca.78;Mar.18;Þub.79;Oca.86;Þub.54
User 164;0.7;Oca.28;0.93;0.47;0.54;Oca.58;Mar.18;Þub.82;Oca.76;Þub.98
User 165;0.8;Oca.16;1.Eyl;0.23;0.82;1.May;Mar.18;Þub.78;0.93;Þub.88
User 166;0.9;Oca.64;0.21;0.5;0.3;Oca.68;Mar.18;Þub.91;Oca.44;Þub.74
User 167;0.7;0.8;Þub.56;0.5;1.Oca;1.May;Mar.19;Þub.86;Oca.47;Þub.38
User 168;0.61;1.Nis;0.83;0.46;0.82;Oca.86;Mar.18;2.Eyl;Þub.18;Þub.54
User 169;0.67;2.Nis;Þub.82;0.51;0.9;Oca.66;3.Þub;Þub.85;1.May;Þub.34
User 170;0.7;Oca.28;Oca.49;0.46;0.58;Oca.46;Mar.18;Þub.97;Oca.73;Þub.86
User 171;0.93;Oca.16;0.26;0.51;Oca.42;2.Nis;Mar.18;Þub.97;Þub.18;2.Aðu
User 172;1.Eyl;0.4;0.45;0.48;0.7;1.Haz;Mar.18;Þub.98;Oca.22;Þub.48
User 173;0.74;Oca.96;0.14;0.65;0.4;0.98;Mar.18;Þub.73;Oca.22;Þub.78
User 174;1.Haz;Oca.28;0.22;0.49;0.74;Oca.24;Mar.17;Þub.94;1.Haz;Mar.28
User 175;0.96;1.Aðu;0.8;0.66;0.72;2.Þub;Mar.18;Þub.86;Oca.57;Mar.26
User 176;0.42;Oca.88;0.26;1.May;1.Haz;2.Oca;Mar.18;Þub.86;Oca.15;Þub.62
User 177;1.Þub;Oca.16;0.78;0.41;1.Oca;2;Mar.18;3.Oca;Oca.38;Mar.26
User 178;0.99;1.Aðu;0.93;0.41;0.62;Oca.46;Mar.18;Þub.97;Oca.73;Þub.94
User 179;0.7;0.96;0.22;0.47;0.46;2.Ara;Mar.18;Þub.89;1.Tem;Þub.98
User 180;0.77;Oca.24;0.21;0.54;0.88;Oca.42;Mar.18;Þub.86;Oca.76;Þub.88
User 181;0.58;Oca.44;0.19;0.53;0.24;0.94;Mar.18;Mar.29;Þub.18;2.Eyl
User 182;0.8;1.Þub;Oca.25;0.43;Oca.78;Þub.62;Mar.18;Þub.75;1.Haz;2.Tem
User 183;Oca.28;Oca.48;Oca.42;0.61;0.96;Oca.98;Mar.18;Þub.81;1.Haz;Þub.48
User 184;Oca.38;1.Ara;1.Aðu;0.37;0.82;Oca.16;Mar.18;Þub.69;Oca.22;3.Mar
User 185;1.Haz;1.Nis;2.May;0.56;Oca.78;2.Aðu;3.Þub;Þub.72;Þub.18;Þub.54
User 186;0.96;1.Þub;0.36;0.43;0.22;2.Aðu;Mar.18;Þub.85;Oca.98;Þub.64
User 187;0.58;1.Ara;0.27;0.47;Oca.42;Þub.14;Mar.18;Þub.78;Oca.44;Þub.72
User 188;Oca.41;Oca.32;0.19;0.56;0.32;Oca.56;Mar.18;3.Tem;Oca.41;3.Haz
User 189;1.Þub;1.Nis;Oca.33;0.61;0.86;2.Nis;Mar.19;Þub.89;Oca.63;Þub.46
User 190;0.93;0.6;0.18;0.33;0.32;1.Oca;Mar.17;Þub.94;Oca.28;3.Nis
User 191;0.51;1.Aðu;Þub.48;0.57;0.66;1.Aðu;Mar.19;Þub.58;Oca.38;Þub.32
User 192;0.83;Oca.32;Oca.89;0.65;Oca.28;1.Tem;Mar.19;Þub.75;Oca.76;Þub.66
User 193;1.Tem;0.64;0.43;0.41;0.9;1.Tem;Mar.16;Þub.85;1.Tem;Mar.52
User 194;0.9;Oca.56;0.22;0.35;Oca.26;Oca.96;Mar.16;Þub.74;2.May;Mar.44
User 195;0.34;Oca.16;0.18;0.4;Oca.18;Oca.86;Mar.18;Þub.82;Oca.76;Þub.86
User 196;0.8;1;0.22;0.34;0.94;1.Nis;Mar.17;Þub.94;Oca.41;Þub.96
User 197;0.7;1.Nis;Oca.41;0.31;0.62;1.May;Mar.18;Þub.65;Oca.31;3.Nis
User 198;Oca.28;0.68;2.Haz;0.38;Oca.58;Þub.48;Mar.19;Þub.74;Oca.57;2.May
User 199;0.64;Oca.48;0.99;0.31;0.64;1.Mar;Mar.18;3.Oca;Oca.57;Mar.26
User 200;Oca.25;Þub.16;0.22;Oca.79;0.9;Oca.76;Mar.18;Þub.77;1.Tem;2.Nis
User 201;1.Haz;Oca.28;2.May;0.62;Oca.66;3.Þub;Mar.19;Þub.89;Oca.79;Þub.78
User 202;1.Ara;Oca.56;0.38;0.55;0.66;2.Oca;Mar.18;Þub.85;Oca.73;Þub.96
User 203;0.7;0.92;Þub.77;0.54;0.98;Oca.58;3.Þub;Þub.74;Oca.47;Þub.34
User 204;1.Haz;1.Ara;0.22;0.39;0.7;Oca.46;Mar.18;Þub.91;Oca.82;Þub.82
User 205;0.83;0.88;0.82;0.42;0.62;Oca.74;Mar.18;Þub.93;1.Þub;2.Tem
User 206;0.99;2.Aðu;0.27;0.33;0.14;0.82;Mar.18;Þub.73;Oca.38;Þub.78
User 207;0.99;Oca.28;0.19;0.27;0.54;Þub.22;Mar.18;Þub.71;Oca.73;Þub.62
User 208;0.8;0.84;0.24;0.5;0.56;Oca.44;Mar.18;Þub.94;Oca.89;Þub.94
User 209;0.77;0.88;Oca.71;0.48;0.7;1.Aðu;Mar.18;Þub.54;Oca.15;Þub.58
User 210;1.Haz;1.Ara;0.98;0.21;1.Oca;Oca.38;Mar.17;Þub.88;1.Þub;Mar.26
User 211;0.54;Oca.44;Oca.31;0.32;Oca.18;Oca.48;Mar.18;Þub.79;Oca.31;3.Mar
User 212;0.93;Oca.36;Oca.94;0.34;0.9;Þub.36;Mar.19;Þub.78;1.May;Þub.82
User 213;0.83;2.Nis;0.42;0.51;0.7;2.Ara;Mar.18;Þub.66;1.Haz;Þub.98
User 214;0.51;Oca.32;0.24;0.38;0.42;1.Mar;Mar.18;Þub.79;Oca.34;Þub.58
User 215;0.61;Oca.56;0.16;0.37;0.38;0.94;Mar.17;Þub.94;Oca.22;Mar.46
User 216;0.7;Oca.28;Oca.66;0.49;Oca.68;Þub.68;Mar.19;Þub.77;1.Tem;Þub.54
User 217;0.61;Oca.52;0.18;0.26;0.8;1.Nis;Mar.17;Þub.77;Oca.22;3.Nis
User 218;0.9;1.Þub;0.5;0.45;0.64;Oca.54;Mar.18;Þub.71;Oca.38;2.Mar
User 219;1.Þub;0.72;1.Þub;0.47;1.Eyl;Þub.98;Mar.18;Þub.79;Oca.31;Þub.38
User 220;0.9;0.88;2.May;0.45;Oca.36;2;Mar.18;Þub.87;Oca.38;Þub.86
User 221;0.77;1.Aðu;0.29;0.58;Oca.38;Þub.54;Mar.18;Þub.87;1.Haz;Þub.88
User 222;Oca.25;1.Ara;Oca.47;0.41;0.26;Oca.22;Mar.18;Þub.73;1.Ara;Mar.22
User 223;Oca.15;Þub.32;2.Nis;0.5;1.Ara;Oca.54;Mar.19;2.Aðu;Oca.63;2.Nis
User 224;0.93;Oca.32;0.14;0.47;0.54;Oca.56;Mar.17;Þub.86;1.Haz;3.Nis
User 225;0.61;1.Þub;2.May;0.61;1.Mar;3.Haz;Mar.19;Þub.79;Oca.57;Þub.42
User 226;1.Þub;Oca.96;0.27;0.35;Oca.18;Oca.46;Mar.17;Þub.73;Oca.47;Mar.34
User 227;0.9;Þub.24;0.27;Oca.78;1.Mar;Oca.42;Mar.18;Þub.75;Oca.18;Þub.46
User 228;0.67;1.Þub;Oca.39;0.41;Oca.26;1.Tem;Mar.18;Þub.82;Oca.25;Þub.82
User 229;0.54;Þub.96;0.58;0.57;0.78;1.Tem;Mar.18;Þub.91;Oca.28;3.Mar
User 230;0.61;1.Nis;Oca.98;0.55;Oca.34;Oca.96;Mar.19;Þub.94;Oca.15;Þub.38
User 231;0.61;1;0.22;0.58;1.Oca;Oca.42;Mar.18;Mar.14;2.Kas;2.Aðu
User 232;0.58;Oca.44;2.Oca;0.64;Oca.92;Þub.18;3.Þub;3.Nis;1.Ara;Þub.42
User 233;0.83;Oca.96;0.51;0.31;0.74;Oca.16;Mar.18;2.Tem;1.Þub;3.Þub
User 234;0.48;Oca.96;0.24;0.35;0.46;Oca.62;Mar.18;2.Tem;Oca.28;Þub.74
User 235;0.61;0.84;0.15;0.38;Þub.38;2.Ara;Mar.18;Þub.97;Oca.34;Þub.14
User 236;0.34;Oca.16;0.18;0.4;Oca.18;Oca.86;Mar.18;Þub.82;Oca.76;Þub.86
User 237;Oca.41;1.Aðu;Oca.34;0.65;1.Haz;Þub.14;Mar.18;Þub.81;Oca.15;Mar.14
User 238;0.58;Oca.84;0.22;0.73;0.98;Þub.14;Mar.18;Þub.99;Oca.44;Þub.96
User 239;0.96;0.88;1.Þub;0.64;Oca.18;Þub.24;Mar.18;Þub.78;1.Ara;2.Tem
User 240;2.Aðu;0.48;0.18;0.15;0.1;0.14;Mar.18;Þub.95;Oca.15;3.Haz
User 241;0.7;0.92;Þub.77;0.54;0.98;Oca.58;3.Þub;Þub.74;Oca.47;Þub.34
